name,gm_rate,gm_review,latitude,longitude,zoodex_review,zoodex_rating,Rating,Reviews,Number of Reviews
زرین مشرق زمین,4.0,25.0,30.3949981,56.0056791,4.0,,,,
Olca doner اُلکا دونر,5.0,3.0,30.3951923,56.0054479,4.0,,,,
کافه رستوران سنتی بینام,,,30.422523,55.9774566,5.0,,,,
Desert nights Restaurant,4.5,2.0,30.4018354,55.9860475,276.0,4.0,,,
Cafepizza ghorob,,,30.4024728,55.9865947,276.0,4.0,,,
رستوران شب های کویر (علی تاج),3.3,7.0,30.4018594,55.9860539,276.0,4.0,,,
رستوران نخل (کلبه دورهمی),3.9,12.0,30.3956874,55.9956475,,,,,
کافه صبحانه پارسا,,,30.3993223,55.9906093,1.0,,,,
غذای بیرون بر تک ستاره شیراز,5.0,3.0,30.4044771,55.9866858,44.0,4.6,,,
رستوران و بیرون بر شبدیز,,,30.4038989,55.9863294,44.0,4.6,,,
پیتزا آسمان رفسنجان,,,30.4038989,55.9863294,44.0,4.6,,,
کافه رستوران من,,,30.4038989,55.9863294,44.0,4.6,,,
ساندویچی هیوا,,,30.4038989,55.9863294,44.0,4.6,,,
کبابی دایی ولی,,,30.4115934,55.9838944,54.0,,,,
رستوران اردیبهشت,,,30.4083946,55.9935164,3.0,,,,
پیتزا جزیره,4.0,2.0,30.3878832,56.0055143,1.0,,,,
صبحانه جانانه,,,30.3877949,56.0053364,1.0,,,,
مرخ سوخاری کنج,,,30.4009974,55.9894781,2.0,,,,
نان داغ کباب داغ ریحون,,,30.4177794,56.0055347,12.0,,,,
غذای بیرون بر تک ستاره شیراز,5.0,3.0,30.4044771,55.9866858,223.0,4.5,,,
رستوران و بیرون بر شبدیز,,,30.4038989,55.9863294,223.0,4.5,,,
پیتزا آسمان رفسنجان,,,30.4038989,55.9863294,223.0,4.5,,,
کافه رستوران من,,,30.4038989,55.9863294,223.0,4.5,,,
ساندویچی هیوا,,,30.4038989,55.9863294,223.0,4.5,,,
رستوران سرآشپز رفسنجان,,,30.4105261,55.9925644,,,,,
پیتزا جزیره,4.0,2.0,30.3878832,56.0055143,30.0,,,,
صبحانه جانانه,,,30.3877949,56.0053364,30.0,,,,
Gilani Restaurant,4.1,101.0,30.4008619,55.999932,30.0,,,,
Mostafa Kalbadinejad's chain restaurant - Akbar Joojeh,3.7,15.0,30.3864059,55.9595764,55.0,3.7,,,
رستوران امیر,,,30.3803135,55.9758088,5.0,,,,
مرخ سوخاری کنج,,,30.4009974,55.9894781,55.0,,,,
Shakeri kebab shop,4.6,5.0,30.4094241,55.9924484,3.0,,,,
چلو کباب بناب اسماعیلی,,,30.418106,55.9839415,1.0,,,,
پیتزا رز,5.0,1.0,30.4176519,55.983238,1.0,,,,
Shams Restaurant,,,30.4175948,55.9844777,1.0,,,,
جعبه سوخاری,,,30.3981345,55.9914143,5.0,,,,
کبابکده سنتی مَن,5.0,1.0,30.3913268,56.0072135,,,,,
پیتزا جزیره,4.0,2.0,30.3878832,56.0055143,,,,,
صبحانه جانانه,,,30.3877949,56.0053364,,,,,
Tirano Fast Food,,,30.4200937,55.9740268,36.0,,,,
صبحانه نشاط,,,30.39386,55.993693,1.0,,,,
Goltabeh Pizza,3.8,13.0,30.3888377,55.9987393,1.0,,,,
فست فود کلبه,5.0,2.0,30.4261465,55.9718479,,,,,
کبابی جگرکی آدانا,,,30.4260424,55.9715879,,,,,
غذای بیرون بر تک ستاره شیراز,5.0,3.0,30.4044771,55.9866858,,,,,
رستوران و بیرون بر شبدیز,,,30.4038989,55.9863294,,,,,
پیتزا آسمان رفسنجان,,,30.4038989,55.9863294,,,,,
کافه رستوران من,,,30.4038989,55.9863294,,,,,
ساندویچی هیوا,,,30.4038989,55.9863294,,,,,
Ashkadeh liro,4.3,3.0,30.4104004,55.9812007,35.0,5.0,,,
Melon Pizza,4.1,7.0,30.3818826,56.0095041,,,,,
کباب بره حسام,4.0,2.0,30.3821854,56.0091497,,,,,
Behnoosh sandwich,,,30.3922265,55.9983242,1.0,,,,
کبابی و جگرسرای هزار و یکشب,,,30.3928396,55.9983531,1.0,,,,
رستوران کاکو شیرازی,4.3,3.0,30.3958467,55.9744849,63.0,4.2,,,
فست فود آسمان,5.0,1.0,30.3963126,55.9750692,63.0,4.2,,,
رستوران وبیرون بر سرو شعبه 3,,,30.3963728,55.9750367,63.0,4.2,,,
کافه صبحانه پارسا,,,30.3993223,55.9906093,,,,,
مرخ سوخاری کنج,,,30.4009974,55.9894781,16.0,,,,
رستوران آب و آتش,,,30.3943748,55.971499,42.0,3.7,,,
شیرینی حاج خانوم شعبه ۳,,,30.3940954,55.9710023,42.0,3.7,,,
رستوران آب و آتش,,,30.3943748,55.971499,10.0,,,,
شیرینی حاج خانوم شعبه ۳,,,30.3940954,55.9710023,10.0,,,,
