Name,Link,Rating,Reviews
Desert nights Restaurant,https://www.google.com/maps/place/Desert+nights+Restaurant/data=!4m7!3m6!1s0x3f00f7063b3ed75b:0xa6e68b4f542ffa04!8m2!3d30.4018354!4d55.9860475!16s%2Fg%2F11pv9dxpzm!19sChIJW9c-Owb3AD8RBPovVE-L5qY?authuser=0&hl=en&rclk=1,4.5,2.0
نشاط فود سنتر,https://www.google.com/maps/place/%D9%86%D8%B4%D8%A7%D8%B7+%D9%81%D9%88%D8%AF+%D8%B3%D9%86%D8%AA%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3f00f7aed366e131:0x46281177b855f75b!8m2!3d30.4015133!4d55.9823283!16s%2Fg%2F11pdr7lpsz!19sChIJMeFm0673AD8RW_dVuHcRKEY?authuser=0&hl=en&rclk=1,4.9,11.0
ice cream n,https://www.google.com/maps/place/ice+cream+n/data=!4m7!3m6!1s0x3f00f750e0b2849d:0x68eaa2c7424ca7c5!8m2!3d30.3886458!4d55.9957957!16s%2Fg%2F11gnp4ppzy!19sChIJnYSy4FD3AD8RxadMQsei6mg?authuser=0&hl=en&rclk=1,5.0,1.0
رستوران آب و آتش,https://www.google.com/maps/place/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86+%D8%A2%D8%A8+%D9%88+%D8%A2%D8%AA%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x3f00f77c43489263:0xe60fb3a91541b1b5!8m2!3d30.3943748!4d55.971499!16s%2Fg%2F11h4nkpgr5!19sChIJY5JIQ3z3AD8RtbFBFamzD-Y?authuser=0&hl=en&rclk=1,No Rating,No Reviews
Khaghani Traditional Restaurant,https://www.google.com/maps/place/Khaghani+Traditional+Restaurant/data=!4m7!3m6!1s0x3f00f72e033ce0e5:0xb17eded8aa514611!8m2!3d30.4068852!4d55.9913368!16s%2Fg%2F11cs3jfj_y!19sChIJ5eA8Ay73AD8REUZRqtjefrE?authuser=0&hl=en&rclk=1,3.7,3.0
رستوران امیر,https://www.google.com/maps/place/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86+%D8%A7%D9%85%DB%8C%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3f00f7c5133b2ea1:0xb06e53e6ebc878f!8m2!3d30.3803135!4d55.9758088!16s%2Fg%2F11vkdy03cn!19sChIJoS47E8X3AD8Rj4e8bj7lBgs?authuser=0&hl=en&rclk=1,No Rating,No Reviews
رستوران سنتی شمعدونی,https://www.google.com/maps/place/%D8%B1%D8%B3%D8%AA%D9%88%D8%B1%D8%A7%D9%86+%D8%B3%D9%86%D8%AA%DB%8C+%D8%B4%D9%85%D8%B9%D8%AF%D9%88%D9%86%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x3f00f706ca5e54db:0x7f0297ad3e43bdb6!8m2!3d30.4045643!4d55.9774165!16s%2Fg%2F11j09yltmd!19sChIJ21Reygb3AD8Rtr1DPq2XAn8?authuser=0&hl=en&rclk=1,5.0,1.0
Gym food,https://www.google.com/maps/place/Gym+food/data=!4m7!3m6!1s0x3f00f74c9f7762c5:0x36646ef36f2e9baf!8m2!3d30.3972851!4d55.996209!16s%2Fg%2F11tkbr152p!19sChIJxWJ3n0z3AD8Rr5sub_NuZDY?authuser=0&hl=en&rclk=1,4.0,2.0
باباطاهر,https://www.google.com/maps/place/%D8%A8%D8%A7%D8%A8%D8%A7%D8%B7%D8%A7%D9%87%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3f00f7f526433a81:0x4c1ccf30c72a3ec4!8m2!3d30.4002336!4d55.9804165!16s%2Fg%2F11sffptnq0!19sChIJgTpDJvX3AD8RxD4qxzDPHEw?authuser=0&hl=en&rclk=1,No Rating,No Reviews
Lux Talaei Restaurant,https://www.google.com/maps/place/Lux+Talaei+Restaurant/data=!4m7!3m6!1s0x3f00f694f251d2f5:0x18e456e4256a4236!8m2!3d30.3781335!4d55.9558954!16s%2Fg%2F11fltj8523!19sChIJ9dJR8pT2AD8RNkJqJeRW5Bg?authuser=0&hl=en&rclk=1,4.0,40.0
